category,location,years,value,sea
갯장어,경기도,1970,241,기타
갯장어,충청남도,1970,10,기타
갯장어,전라북도,1970,17,기타
갯장어,전라남도,1970,1131,기타
갯장어,경상북도,1970,0,동해
갯장어,경상남도,1970,1333,기타
붕장어,부산광역시,1970,1857,동해
붕장어,경기도,1970,0,기타
붕장어,충청남도,1970,54,기타
붕장어,전라북도,1970,0,기타
붕장어,전라남도,1970,922,기타
붕장어,경상북도,1970,40,동해
붕장어,경상남도,1970,2579,기타
붕장어,제주도,1970,0,기타
전갱이류,부산광역시,1970,677,동해
전갱이류,경기도,1970,1,기타
전갱이류,충청남도,1970,0,기타
전갱이류,전라북도,1970,1,기타
전갱이류,전라남도,1970,10,기타
전갱이류,경상북도,1970,21,동해
전갱이류,경상남도,1970,109,기타
전갱이류,제주도,1970,64,기타
전어,부산광역시,1970,398,동해
전어,경기도,1970,162,기타
전어,강원도,1970,5,동해
전어,충청남도,1970,29,기타
전어,전라북도,1970,107,기타
전어,전라남도,1970,2466,기타
전어,경상북도,1970,14,동해
전어,경상남도,1970,4680,기타
정어리,부산광역시,1970,0,동해
정어리,강원도,1970,0,동해
정어리,전라남도,1970,90,기타
정어리,경상북도,1970,1,동해
정어리,경상남도,1970,10,기타
참조기,부산광역시,1970,6299,동해
참조기,경기도,1970,6714,기타
참조기,충청남도,1970,801,기타
참조기,전라북도,1970,4010.5,기타
참조기,전라남도,1970,9524,기타
참조기,경상남도,1970,4180,기타
참조기,제주도,1970,236,기타
기타조기류,부산광역시,1970,14800,동해
기타조기류,경기도,1970,2260,기타
기타조기류,충청남도,1970,920,기타
기타조기류,전라북도,1970,112,기타
기타조기류,전라남도,1970,1371,기타
기타조기류,경상남도,1970,3890,기타
기타조기류,제주도,1970,55,기타
준치,부산광역시,1970,454,동해
준치,경기도,1970,374,기타
준치,충청남도,1970,318,기타
준치,전라북도,1970,428.2,기타
준치,전라남도,1970,1728,기타
준치,경상북도,1970,0,동해
준치,경상남도,1970,130,기타
준치,제주도,1970,47,기타
쥐치류,부산광역시,1970,0,동해
쥐치류,경기도,1970,0,기타
쥐치류,강원도,1970,0,동해
쥐치류,충청남도,1970,0,기타
쥐치류,전라북도,1970,0,기타
쥐치류,전라남도,1970,0,기타
쥐치류,경상북도,1970,0,동해
쥐치류,경상남도,1970,0,기타
쥐치류,제주도,1970,0,기타
청어,부산광역시,1970,341,동해
청어,경기도,1970,389,기타
청어,강원도,1970,7,동해
청어,전라북도,1970,0,기타
청어,전라남도,1970,3,기타
청어,경상북도,1970,6,동해
청어,경상남도,1970,0,기타
기타어류,부산광역시,1970,19536,동해
기타어류,경기도,1970,26989,기타
기타어류,강원도,1970,3892,동해
기타어류,충청남도,1970,4112,기타
기타어류,전라북도,1970,9628,기타
기타어류,전라남도,1970,22631,기타
기타어류,경상북도,1970,6016,동해
기타어류,경상남도,1970,31629,기타
기타어류,제주도,1970,515,기타
꽃게,부산광역시,1970,0,동해
꽃게,경기도,1970,652,기타
꽃게,충청남도,1970,1858,기타
꽃게,전라북도,1970,57,기타
꽃게,전라남도,1970,84,기타
꽃게,경상남도,1970,49,기타
대게,부산광역시,1970,0,동해
대게,경기도,1970,0,기타
대게,강원도,1970,0,동해
대게,전라북도,1970,0,기타
대게,전라남도,1970,113,기타
대게,경상북도,1970,72,동해
대게,경상남도,1970,62,기타
기타게류,부산광역시,1970,1229,동해
기타게류,경기도,1970,58,기타
기타게류,강원도,1970,48,동해
기타게류,충청남도,1970,303,기타
기타게류,전라북도,1970,43,기타
기타게류,전라남도,1970,235,기타
기타게류,경상북도,1970,154,동해
기타게류,경상남도,1970,334,기타
대하,부산광역시,1970,0,동해
대하,경기도,1970,53,기타
대하,충청남도,1970,174,기타
대하,전라북도,1970,106,기타
대하,전라남도,1970,114,기타
대하,경상북도,1970,4,동해
대하,경상남도,1970,6,기타
보리새우,부산광역시,1970,0,동해
보리새우,충청남도,1970,4,기타
보리새우,전라북도,1970,0,기타
보리새우,전라남도,1970,87,기타
보리새우,경상남도,1970,4,기타
젓새우류,경기도,1970,5896,기타
젓새우류,충청남도,1970,572,기타
젓새우류,전라북도,1970,0,기타
젓새우류,전라남도,1970,41,기타
젓새우류,경상북도,1970,0,동해
젓새우류,경상남도,1970,0,기타
중하,부산광역시,1970,38,동해
중하,경기도,1970,2,기타
중하,강원도,1970,43,동해
중하,충청남도,1970,45,기타
중하,전라북도,1970,12,기타
중하,전라남도,1970,307,기타
중하,경상북도,1970,22,동해
중하,경상남도,1970,137,기타
기타새우류,부산광역시,1970,21,동해
기타새우류,경기도,1970,703,기타
기타새우류,강원도,1970,70,동해
기타새우류,충청남도,1970,623,기타
기타새우류,전라북도,1970,8,기타
기타새우류,전라남도,1970,582,기타
기타새우류,경상북도,1970,432,동해
기타새우류,경상남도,1970,582,기타
기타새우류,제주도,1970,9,기타
기타갑각류,부산광역시,1970,0,동해
기타갑각류,경기도,1970,52,기타
기타갑각류,강원도,1970,0,동해
기타갑각류,충청남도,1970,14,기타
기타갑각류,전라북도,1970,2,기타
기타갑각류,전라남도,1970,15,기타
기타갑각류,경상북도,1970,0,동해
기타갑각류,경상남도,1970,223,기타
골뱅이,강원도,1970,0,동해
골뱅이,충청남도,1970,0,기타
골뱅이,전라북도,1970,0,기타
골뱅이,경상북도,1970,0,동해
골뱅이,경상남도,1970,0,기타
굴류,부산광역시,1970,515,동해
굴류,경기도,1970,481,기타
굴류,충청남도,1970,656,기타
굴류,전라북도,1970,4,기타
굴류,전라남도,1970,1688,기타
굴류,경상북도,1970,0,동해
굴류,경상남도,1970,2274,기타
소라고둥,부산광역시,1970,8,동해
소라고둥,경기도,1970,126,기타
소라고둥,강원도,1970,0,동해
소라고둥,충청남도,1970,277,기타
소라고둥,전라북도,1970,8,기타
소라고둥,전라남도,1970,282,기타
소라고둥,경상북도,1970,38,동해
소라고둥,경상남도,1970,257,기타
소라고둥,제주도,1970,1591,기타
전복류,부산광역시,1970,7,동해
전복류,경기도,1970,18,기타
전복류,강원도,1970,1,동해
전복류,충청남도,1970,13,기타
전복류,전라북도,1970,0,기타
전복류,전라남도,1970,96,기타
전복류,경상북도,1970,33,동해
전복류,경상남도,1970,77,기타
전복류,제주도,1970,128,기타
가리비류,전라남도,1970,0,기타
가리비류,경상남도,1970,0,기타
가무락,경기도,1970,0,기타
가무락,충청남도,1970,0,기타
가무락,전라북도,1970,0,기타
가무락,전라남도,1970,0,기타
가무락,경상남도,1970,0,기타
개량조개류,경기도,1970,0,기타
개량조개류,충청남도,1970,0,기타
개량조개류,전라북도,1970,0,기타
개량조개류,전라남도,1970,0,기타
개량조개류,경상남도,1970,0,기타
꼬막,부산광역시,1970,19,동해
꼬막,경기도,1970,1,기타
꼬막,강원도,1970,0,동해
꼬막,충청남도,1970,104,기타
꼬막,전라북도,1970,46,기타
꼬막,전라남도,1970,2628,기타
꼬막,경상남도,1970,1100,기타
맛류,경기도,1970,0,기타
맛류,충청남도,1970,0,기타
맛류,전라북도,1970,0,기타
맛류,전라남도,1970,0,기타
맛류,경상남도,1970,0,기타
바지락,부산광역시,1970,0,동해
바지락,경기도,1970,282,기타
바지락,충청남도,1970,1546,기타
바지락,전라북도,1970,62,기타
바지락,전라남도,1970,2452,기타
바지락,경상남도,1970,624,기타
바지락,제주도,1970,0,기타
백합류,경기도,1970,157,기타
백합류,충청남도,1970,162,기타
백합류,전라북도,1970,1496,기타
백합류,전라남도,1970,448,기타
백합류,경상북도,1970,0,동해
백합류,경상남도,1970,199,기타
새조개,전라남도,1970,0,기타
새조개,경상남도,1970,0,기타
키조개,부산광역시,1970,38,동해
키조개,경기도,1970,0,기타
키조개,충청남도,1970,0,기타
키조개,전라북도,1970,15,기타
키조개,전라남도,1970,273,기타
키조개,경상북도,1970,0,동해
키조개,경상남도,1970,37,기타
피조개,부산광역시,1970,77,동해
피조개,경기도,1970,0,기타
피조개,충청남도,1970,10,기타
피조개,전라북도,1970,0,기타
피조개,전라남도,1970,41,기타
피조개,경상북도,1970,0,동해
피조개,경상남도,1970,348,기타
홍합류,부산광역시,1970,546,동해
홍합류,경기도,1970,63,기타
홍합류,충청남도,1970,78,기타
홍합류,전라남도,1970,354,기타
홍합류,경상북도,1970,2,동해
홍합류,경상남도,1970,2848,기타
홍합류,제주도,1970,0,기타
기타패류,부산광역시,1970,0,동해
기타패류,경기도,1970,0,기타
기타패류,강원도,1970,0,동해
기타패류,충청남도,1970,0,기타
기타패류,전라북도,1970,0,기타
기타패류,전라남도,1970,0,기타
기타패류,경상북도,1970,0,동해
기타패류,경상남도,1970,0,기타
기타패류,제주도,1970,0,기타
갑오징어류,부산광역시,1970,862,동해
갑오징어류,경기도,1970,188,기타
갑오징어류,강원도,1970,273,동해
갑오징어류,충청남도,1970,127,기타
갑오징어류,전라북도,1970,443.4,기타
갑오징어류,전라남도,1970,426,기타
갑오징어류,경상북도,1970,159,동해
갑오징어류,경상남도,1970,599,기타
문어류,부산광역시,1970,101,동해
문어류,경기도,1970,0,기타
문어류,강원도,1970,78,동해
문어류,전라남도,1970,111,기타
문어류,경상북도,1970,49,동해
문어류,경상남도,1970,164,기타
문어류,제주도,1970,0,기타
주꾸미,부산광역시,1970,0,동해
주꾸미,경기도,1970,38,기타
주꾸미,강원도,1970,129,동해
주꾸미,충청남도,1970,32,기타
주꾸미,전라북도,1970,58,기타
주꾸미,전라남도,1970,441,기타
주꾸미,경상북도,1970,0,동해
주꾸미,경상남도,1970,1712,기타
살오징어(오징어),부산광역시,1970,3101,동해
살오징어(오징어),경기도,1970,58,기타
살오징어(오징어),강원도,1970,42663,동해
살오징어(오징어),충청남도,1970,89,기타
살오징어(오징어),전라북도,1970,5,기타
살오징어(오징어),전라남도,1970,734,기타
살오징어(오징어),경상북도,1970,25259,동해
살오징어(오징어),경상남도,1970,225,기타
살오징어(오징어),제주도,1970,8,기타
기타연체동물류,부산광역시,1970,2406,동해
기타연체동물류,경기도,1970,3021,기타
기타연체동물류,강원도,1970,1,동해
기타연체동물류,충청남도,1970,211,기타
기타연체동물류,전라북도,1970,113,기타
기타연체동물류,전라남도,1970,1564,기타
기타연체동물류,경상북도,1970,321,동해
기타연체동물류,경상남도,1970,3432,기타
기타연체동물류,제주도,1970,0,기타
성게류,부산광역시,1970,6,동해
성게류,경기도,1970,0,기타
성게류,강원도,1970,2817,동해
성게류,충청남도,1970,0,기타
성게류,전라남도,1970,13,기타
성게류,경상북도,1970,163,동해
성게류,경상남도,1970,365,기타
성게류,제주도,1970,0,기타
우렁쉥이,부산광역시,1970,0,동해
우렁쉥이,강원도,1970,0,동해
우렁쉥이,전라남도,1970,0,기타
우렁쉥이,경상북도,1970,0,동해
우렁쉥이,경상남도,1970,0,기타
해삼,부산광역시,1970,84,동해
해삼,경기도,1970,25,기타
해삼,강원도,1970,64,동해
해삼,충청남도,1970,3,기타
해삼,전라남도,1970,301,기타
해삼,경상북도,1970,28,동해
해삼,경상남도,1970,758,기타
해삼,제주도,1970,68,기타
기타수산동물류,부산광역시,1970,2892,동해
기타수산동물류,경기도,1970,148,기타
기타수산동물류,강원도,1970,66,동해
기타수산동물류,충청남도,1970,141,기타
기타수산동물류,전라북도,1970,3,기타
기타수산동물류,전라남도,1970,2354,기타
기타수산동물류,경상북도,1970,130,동해
기타수산동물류,경상남도,1970,5341,기타
기타수산동물류,제주도,1970,0,기타
김류,부산광역시,1970,0,동해
김류,경기도,1970,1,기타
김류,강원도,1970,4,동해
김류,충청남도,1970,6,기타
김류,전라북도,1970,5,기타
김류,전라남도,1970,962,기타
김류,경상북도,1970,41,동해
김류,경상남도,1970,152,기타
김류,제주도,1970,0,기타
꼬시래기류,전라남도,1970,0,기타
꼬시래기류,경상남도,1970,0,기타
다시마류,강원도,1970,780,동해
